,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
144,99.30749,,55.800198,72.00649,,43.44045,2.377029
145,96.07118,,60.33848,72.50507,,36.980274,2.3898542
146,94.414825,,60.328045,72.99984,,33.51926,2.3955138
147,94.2495,,59.047226,73.52214,,27.945717,2.4016378
148,93.99985,,57.13831,73.993225,,28.6699,2.4068832
149,94.48762,,54.55654,74.51667,,43.432472,2.4074032
150,95.244774,,53.355537,74.986,,52.6345,2.3976765
151,96.56199,,56.37738,75.50961,,52.60948,2.386425
152,96.52241,,59.175274,75.9662,,44.720066,2.4110706
153,95.181435,,62.01006,76.51947,,32.600414,2.4474816
154,94.71399,,61.53445,76.972145,,27.25223,2.4512107
155,95.256134,,56.613514,77.49708,,27.049967,2.4176958
156,95.08718,,56.862812,78.02137,,23.24003,2.3777764
157,92.104546,,56.13598,78.49034,,20.932257,2.375575
158,88.2919,,51.671604,79.01384,,20.659683,2.3903
159,87.3986,,52.042664,79.484535,,18.441599,2.4040987
160,87.99162,,54.391453,80.007515,,19.364502,2.416444
161,88.21059,,55.77071,80.47718,,25.354086,2.415468
162,87.28778,,56.51854,81.000565,,46.79373,2.4152782
163,87.71082,,58.84025,81.52394,,61.867596,2.437122
164,91.30513,,63.793243,81.99367,,49.357227,2.4453392
165,97.39661,,75.52755,82.51654,,26.534185,2.4545338
166,96.73796,,85.4598,82.9873,,19.941551,2.4736207
167,87.59332,,80.20057,83.51079,,30.007557,2.5047946
168,82.55466,,69.5444,83.97981,,44.571617,2.506711
169,81.2626,,63.45655,84.504005,,70.76227,2.476688
170,79.99653,,62.464092,85.02903,,103.39012,2.4731343
171,80.092064,,62.695484,85.49763,,154.13962,2.4715083
172,80.72817,,58.895,86.02118,,241.02502,2.456834
173,83.273705,,61.852627,86.49148,,191.85594,2.449393
174,85.14398,,75.036095,87.015175,,83.33126,2.456467
175,84.80904,,73.42467,87.48446,,66.22328,2.4722643
176,86.83764,,70.71315,88.00791,,50.24947,2.4827356
177,89.01587,,73.10043,88.478935,,35.507317,2.480153
178,87.50205,,67.30454,89.00132,,38.764286,2.4782007
179,84.75995,,62.480225,89.4713,,45.02087,2.4843504
180,84.70804,,58.367992,89.99464,,51.708115,2.4857042
181,87.40077,,57.910328,90.51806,,47.37147,2.4560733
182,88.754616,,56.810116,90.98747,,49.960197,2.4186451
183,88.11112,,54.537575,91.51093,,63.06502,2.3995688
184,87.8964,,54.56172,91.98137,,56.374584,2.4280477
185,91.0422,,58.859924,92.5049,,29.357187,2.446456
186,91.987206,,61.076878,92.97362,,20.540157,2.4389899
187,91.156456,,59.616074,93.4984,,26.51885,2.428622
188,89.95091,,59.16947,94.02285,,38.928642,2.413654
189,86.99916,,60.203907,94.49174,,40.743412,2.4326005
190,84.72053,,67.15961,95.01524,,29.04365,2.4725113
191,86.28647,,73.972885,95.48587,,22.16015,2.4722316
192,85.927704,,74.29303,96.008995,,23.619558,2.4609723
193,83.70546,,72.61997,96.47858,,26.175999,2.4816954
194,84.631905,,74.67017,97.001976,,24.097048,2.5171847
195,87.42723,,75.94359,97.525345,,19.954058,2.5191154
196,88.07541,,72.178734,97.99513,,19.519384,2.4960184
197,88.763695,,67.87912,98.51787,,19.958532,2.4671068
198,89.32077,,67.55144,98.98871,,19.03305,2.468521
